Sample_ID,Feature_1,Feature_2,Cluster
1,-6.923241645991934,-10.669531965589794,3
2,-8.630620334313644,-7.13940563765234,3
3,-9.630480689769236,-2.7204493549869673,0
4,-2.3064765942034278,5.307976760491872,1
5,-7.570053657727669,-3.0144649054564128,2
6,-1.0005101098483093,2.779051528226904,1
7,-4.818268385973806,-2.772148223435087,2
8,-5.339647992855507,-1.276257644021504,2
9,-7.943088401134986,-3.899939010564857,2
10,-5.549245254367849,-3.412989678624256,2
11,-5.145089897229651,-9.544921980678078,3
12,-7.09669935635653,-8.04074036220985,3
13,-5.826415121664895,-1.963461960474791,2
14,-1.8319881134989553,3.5286314509217895,1
15,-7.342672348933138,-3.1654648218447767,2
16,-7.340728246218882,-6.924272518973348,3
17,-7.946539060795657,-3.3676865471908224,2
18,-8.245985356429562,-8.613158209058627,3
19,-1.9819771099620271,4.022435514174746,1
20,-4.350980346475657,-3.6947667796776424,2
21,-10.476869602439182,-3.6031813885349258,0
22,-11.01959844829441,-3.1588203077621224,0
23,-5.17255903986124,-4.318359712685473,2
24,-2.406718199699357,6.098944469870908,1
25,-6.721494975923703,-2.8844080642178818,2
26,-6.58935963436387,-4.43379547940742,2
27,-1.4612601858217498,4.525498514650621,1
28,-0.9190034548522448,3.452789267035227,1
29,-10.409351666841584,-2.674820464521483,0
30,-6.367228090988169,-3.326660724595877,2
31,-6.72766124534928,-7.145162671548282,3
32,-2.279560749896649,5.104521902915381,1
33,-5.848875595943767,-3.0397050619974144,2
34,-6.079930511938528,-7.081975676778154,3
35,-5.266829294846004,-2.696450548014737,2
36,-6.05367511988283,-9.629790765144225,3
37,-10.08222053105773,-4.250710430136708,0
38,-11.870873481288402,-3.0327334293082484,0
39,-5.371073070369658,-7.9563583253737535,3
40,-9.375908999347528,-4.553153078434052,0
41,-6.6340198681573215,-2.583403556386127,2
42,-9.54609655309786,-2.8491742210599913,0
43,-1.6982554152145706,2.7907175141398666,1
44,-5.602176024325104,-0.6599084896160656,2
45,-6.03429022029922,-4.088211960497224,2
46,-6.372307836118383,-8.631900461039706,3
47,-10.226478332523264,-2.339987172800089,0
48,-5.956781476027413,-3.979057011247294,2
49,-1.4270653467697816,5.089041275707647,1
